Sophomore,5,"My online experience, at Voorhees College has been a very successful one. I can stay that, before Corona and after I've got my work completed. Before the incident, I only had 3 online courses. But after Corona, I had 6 total online classes. The professors at Voorhees did, well with communication as far as understanding the material. They also allowed, re submission of not only current assignments but also past assignments. The faulty and staff of Voorhees also allowed help, with issuing technology devices for students who didn't have them. Such as giving away laptops, and issuing grants and stimulus. Voorhees College has really out down themselves, they've really opened their arms to help the student body."
Sophomore,5,"I love Voorhees College, I school majority of my family members attended. A historically HBCU, the school is of the best of it's kind. I love the fact, that its not to big to get lost in. Having a family orienated environment, I love my school. Even the history, behind how Mrs. Wright overcamed opposition, to create the school in 1897. Now 123 year later, this woman was the first of color and woman to start a school. I also love the choir, singing with my choir members and director. I also love the small, peaceful, and powerful impact of the school. If they would ask me to comeback, and teach I would. I love my HBCU, Voorhees College where we Begin Believe and Become."
Freshman,5,"I'm a freshman at VoorheesCollege, about to go into my second semester. Majority of my family, has attended VoorheesCollege. It's a great school, one of the best in South Carolina. VoorheesCollege so far, has really been like another home for me. Everyone knows each other, and it's a religious school. Which that's a good thing, because my major is Theological Studies. I just love the annual Chapel services, that are held every Tuesday. Also singing on the great VoorheesCollege Gospel Choir is a joy in itself. After graduation, I plan to become a Pastor and start my own church. By the grace of God, many people will be touched and saved by the Gospel of Jesus Christ. Voorhees has all the necessary tools, that will help me achieve this goal. God has already network me, with many people in the same field I'm achieving to do. It's a homey environment, a small but effective community. VoorheesCollege where we BeginBelieveBecome."
Freshman,5,"Voorhees is a small campus, however it gives you a opportunity to meet everyone and for everyone to get to know each other."
Freshman,5,"""I love my hbcu !"" is what you'll hear at most every pep-rally or all college assembly . This is the place to be if you're looking for a friendly , student engaging environment ! The food in the cafe is amazing also it's like home-cooked meals for the ones who often get home-sick . come to voorhees ! so you can experience the same fun and educational experience that i am !!"
Sophomore,5,I love my HBC we like family we help out those who are bees I get everything I need from my teacher in my study parents if there one thing I will let changes is that food in cafe
Junior,5,Voorhees College is a very Wonderful school that i would recommend plenty students to enroll in. The college is experience is so wonderful
Freshman,5,"First, my experience in college has given me a chance to sharpen my skills in my field of choice. There have been, and there will continue to be, many opportunities to learn more ways of improving my craft as a result of my time in school, which I am truly thankful for. I had always wanted to know more about psychology since I have found the human mind and how it works and develops very interesting.College is a lot different than high school.The first thing you’ll notice is the workload. In the long-term, I’m looking forward to continued learning. I feel like I have grown and learned a lot recently, but there’s so much I still want to learn and experience. I believe there is a connection between living and learning: if we fail to learn, we aren’t truly living. Therefore, I want to keep learning and challenging myself whenever possible."
Junior,5,"Voorhees is a 4 year college that is actually there to help. It is a small college that makes you feel at home. They are very friendly from the students to the faculty and staff. From education to professional to even personal they are willing to give a helping hand. The only thing I would change at Voorhees is the living. The dorms aren't the most up to date ones, but you can get comfortable!"
Freshman,5,"Voorhees College is a great learning environment, fill with high expectations and inviting atmosphere that makes it a good place to study. It has sufficient resources that can help the students achieve their goals and qualified teachers."
College Sophomore,5,The students who are athletic are very good. And the school spirit is unbelievable.
College Freshman,5,"My career goals include wanting to start my own non-profit organizations with programs supporting children, troubled adolescents, elders, and single parents, as well as starting my own scholarship foundation."
College Freshman,5,"Attending Voorhees College was not a mistake for me. I love it here. You get the help you need from your teachers, and the education is awesome. When i graduate I know I'm going to do big things."
College Senior,5,Greek Life on Voorhees College campus is great. There is a lot of greek unity and love shown by the students. I am a member of Delta Sigma Theta and I enjoy every bit of my experience being greek. You meet so many people and lifetime sisters and friends.
College Freshman,5,Friends Are Reliable – You can always rely on your friends to take you around if you dont have a car.
College Sophomore,5,I truly love Voorhees College and the dorms are great. The other students may keep it horrible but the staff try their best to keep the students comfortable.
College Sophomore,5,"People at My School – the people at my school are very nice. they welcome you with open arms and they show u around the school if youre lost or something. we are from all over , even africa, which means we have different ways of dressing and we get to see a lot of different cultures and different ways of dressing. i like it alot"
